candidate_id,name,years_experience,education_level,skills,resume_text
C0011,Candidate_11,3,bachelor,leadership;etl;communication;nlp;kubernetes,"Candidate Candidate_11 has 3 years of experience. Primary skills include leadership, etl, communication, nlp, kubernetes. Education level: bachelor."
C0012,Candidate_12,3,master,fastapi;git;kubernetes;spark;etl,"Candidate Candidate_12 has 3 years of experience. Primary skills include fastapi, git, kubernetes, spark, etl. Education level: master."
C0013,Candidate_13,5,high_school,nlp;project management;leadership;machine learning;sql,"Candidate Candidate_13 has 5 years of experience. Primary skills include nlp, project management, leadership, machine learning, sql. Education level: high_school."
C0014,Candidate_14,0,phd,aws;spark;machine learning;etl;project management,"Candidate Candidate_14 has 0 years of experience. Primary skills include aws, spark, machine learning, etl, project management. Education level: phd."
C0015,Candidate_15,0,high_school,kubernetes;fastapi;python;deep learning;git;etl;power bi;aws,"Candidate Candidate_15 has 0 years of experience. Primary skills include kubernetes, fastapi, python, deep learning, git, etl, power bi, aws. Education level: high_school."
C0016,Candidate_16,3,bachelor,spark;aws;communication;python;kubernetes;leadership,"Candidate Candidate_16 has 3 years of experience. Primary skills include spark, aws, communication, python, kubernetes, leadership. Education level: bachelor."
C0017,Candidate_17,2,high_school,deep learning;tableau;project management;azure;nlp;aws;etl;machine learning,"Candidate Candidate_17 has 2 years of experience. Primary skills include deep learning, tableau, project management, azure, nlp, aws, etl, machine learning. Education level: high_school."
C0018,Candidate_18,5,master,power bi;leadership;python;deep learning;statistics;communication;spark;etl,"Candidate Candidate_18 has 5 years of experience. Primary skills include power bi, leadership, python, deep learning, statistics, communication, spark, etl. Education level: master."
C0019,Candidate_19,2,high_school,sql;docker;machine learning;fastapi;leadership,"Candidate Candidate_19 has 2 years of experience. Primary skills include sql, docker, machine learning, fastapi, leadership. Education level: high_school."
C0020,Candidate_20,1,phd,nlp;git;leadership;aws;kubernetes;fastapi;spark;tableau,"Candidate Candidate_20 has 1 years of experience. Primary skills include nlp, git, leadership, aws, kubernetes, fastapi, spark, tableau. Education level: phd."
C0021,Candidate_21,7,phd,fastapi;azure;tableau;etl;statistics,"Candidate Candidate_21 has 7 years of experience. Primary skills include fastapi, azure, tableau, etl, statistics. Education level: phd."
C0022,Candidate_22,4,bachelor,communication;deep learning;docker;fastapi;machine learning;aws;python;tableau,"Candidate Candidate_22 has 4 years of experience. Primary skills include communication, deep learning, docker, fastapi, machine learning, aws, python, tableau. Education level: bachelor."
C0023,Candidate_23,4,high_school,docker;python;machine learning;sql;git;project management;streamlit;aws,"Candidate Candidate_23 has 4 years of experience. Primary skills include docker, python, machine learning, sql, git, project management, streamlit, aws. Education level: high_school."
C0024,Candidate_24,1,phd,docker;kubernetes;leadership;azure;nlp;statistics;tableau;spark,"Candidate Candidate_24 has 1 years of experience. Primary skills include docker, kubernetes, leadership, azure, nlp, statistics, tableau, spark. Education level: phd."
C0025,Candidate_25,3,phd,leadership;spark;azure;deep learning;project management,"Candidate Candidate_25 has 3 years of experience. Primary skills include leadership, spark, azure, deep learning, project management. Education level: phd."
C0026,Candidate_26,4,phd,spark;git;communication;sql;deep learning;python,"Candidate Candidate_26 has 4 years of experience. Primary skills include spark, git, communication, sql, deep learning, python. Education level: phd."
C0027,Candidate_27,1,bachelor,power bi;deep learning;docker;azure;project management;kubernetes;fastapi;machine learning;leadership,"Candidate Candidate_27 has 1 years of experience. Primary skills include power bi, deep learning, docker, azure, project management, kubernetes, fastapi, machine learning, leadership. Education level: bachelor."
C0028,Candidate_28,5,high_school,communication;docker;machine learning;git;deep learning;python,"Candidate Candidate_28 has 5 years of experience. Primary skills include communication, docker, machine learning, git, deep learning, python. Education level: high_school."
C0029,Candidate_29,3,phd,docker;aws;spark;leadership,"Candidate Candidate_29 has 3 years of experience. Primary skills include docker, aws, spark, leadership. Education level: phd."
C0030,Candidate_30,3,phd,etl;sql;aws;git;python,"Candidate Candidate_30 has 3 years of experience. Primary skills include etl, sql, aws, git, python. Education level: phd."
C0031,Candidate_31,3,master,communication;tableau;spark;leadership;nlp;deep learning,"Candidate Candidate_31 has 3 years of experience. Primary skills include communication, tableau, spark, leadership, nlp, deep learning. Education level: master."
C0032,Candidate_32,8,high_school,sql;streamlit;fastapi;git;power bi,"Candidate Candidate_32 has 8 years of experience. Primary skills include sql, streamlit, fastapi, git, power bi. Education level: high_school."
C0033,Candidate_33,4,bachelor,streamlit;leadership;project management;fastapi,"Candidate Candidate_33 has 4 years of experience. Primary skills include streamlit, leadership, project management, fastapi. Education level: bachelor."
C0034,Candidate_34,2,high_school,project management;machine learning;aws;streamlit,"Candidate Candidate_34 has 2 years of experience. Primary skills include project management, machine learning, aws, streamlit. Education level: high_school."
C0035,Candidate_35,6,master,docker;etl;deep learning;git;sql;tableau;leadership;azure;power bi,"Candidate Candidate_35 has 6 years of experience. Primary skills include docker, etl, deep learning, git, sql, tableau, leadership, azure, power bi. Education level: master."
C0036,Candidate_36,1,master,azure;power bi;docker;kubernetes;etl;machine learning,"Candidate Candidate_36 has 1 years of experience. Primary skills include azure, power bi, docker, kubernetes, etl, machine learning. Education level: master."
C0037,Candidate_37,4,bachelor,power bi;machine learning;python;communication;deep learning;sql;kubernetes,"Candidate Candidate_37 has 4 years of experience. Primary skills include power bi, machine learning, python, communication, deep learning, sql, kubernetes. Education level: bachelor."
C0038,Candidate_38,0,phd,kubernetes;nlp;statistics;machine learning;docker;aws;streamlit;project management,"Candidate Candidate_38 has 0 years of experience. Primary skills include kubernetes, nlp, statistics, machine learning, docker, aws, streamlit, project management. Education level: phd."
C0039,Candidate_39,1,high_school,tableau;project management;python;git;deep learning;communication;machine learning;nlp,"Candidate Candidate_39 has 1 years of experience. Primary skills include tableau, project management, python, git, deep learning, communication, machine learning, nlp. Education level: high_school."
C0040,Candidate_40,4,bachelor,fastapi;nlp;kubernetes;tableau,"Candidate Candidate_40 has 4 years of experience. Primary skills include fastapi, nlp, kubernetes, tableau. Education level: bachelor."
C0041,Candidate_41,6,phd,power bi;azure;kubernetes;project management;leadership;nlp;spark;python;sql,"Candidate Candidate_41 has 6 years of experience. Primary skills include power bi, azure, kubernetes, project management, leadership, nlp, spark, python, sql. Education level: phd."
C0042,Candidate_42,4,phd,sql;python;power bi;nlp;kubernetes;machine learning,"Candidate Candidate_42 has 4 years of experience. Primary skills include sql, python, power bi, nlp, kubernetes, machine learning. Education level: phd."
C0043,Candidate_43,4,high_school,spark;fastapi;python;deep learning;machine learning;communication;statistics;leadership,"Candidate Candidate_43 has 4 years of experience. Primary skills include spark, fastapi, python, deep learning, machine learning, communication, statistics, leadership. Education level: high_school."
C0044,Candidate_44,3,master,streamlit;fastapi;nlp;spark;git;python,"Candidate Candidate_44 has 3 years of experience. Primary skills include streamlit, fastapi, nlp, spark, git, python. Education level: master."
C0045,Candidate_45,1,phd,sql;statistics;azure;docker;deep learning;aws,"Candidate Candidate_45 has 1 years of experience. Primary skills include sql, statistics, azure, docker, deep learning, aws. Education level: phd."
C0046,Candidate_46,2,master,nlp;docker;aws;fastapi;spark;python;machine learning;statistics,"Candidate Candidate_46 has 2 years of experience. Primary skills include nlp, docker, aws, fastapi, spark, python, machine learning, statistics. Education level: master."
C0047,Candidate_47,3,phd,docker;kubernetes;aws;deep learning;etl;spark;python,"Candidate Candidate_47 has 3 years of experience. Primary skills include docker, kubernetes, aws, deep learning, etl, spark, python. Education level: phd."
C0048,Candidate_48,6,bachelor,azure;communication;statistics;tableau;docker,"Candidate Candidate_48 has 6 years of experience. Primary skills include azure, communication, statistics, tableau, docker. Education level: bachelor."
C0049,Candidate_49,5,high_school,azure;etl;power bi;kubernetes,"Candidate Candidate_49 has 5 years of experience. Primary skills include azure, etl, power bi, kubernetes. Education level: high_school."
C0050,Candidate_50,0,master,statistics;project management;etl;power bi;python;sql,"Candidate Candidate_50 has 0 years of experience. Primary skills include statistics, project management, etl, power bi, python, sql. Education level: master."
C0051,Candidate_51,5,master,streamlit;kubernetes;sql;deep learning;spark,"Candidate Candidate_51 has 5 years of experience. Primary skills include streamlit, kubernetes, sql, deep learning, spark. Education level: master."
C0052,Candidate_52,3,high_school,power bi;spark;project management;deep learning;etl;communication;tableau;fastapi;nlp,"Candidate Candidate_52 has 3 years of experience. Primary skills include power bi, spark, project management, deep learning, etl, communication, tableau, fastapi, nlp. Education level: high_school."
C0053,Candidate_53,3,master,spark;python;project management;azure;statistics;fastapi;sql;power bi;aws,"Candidate Candidate_53 has 3 years of experience. Primary skills include spark, python, project management, azure, statistics, fastapi, sql, power bi, aws. Education level: master."
C0054,Candidate_54,5,bachelor,deep learning;tableau;project management;streamlit;spark;aws;azure;statistics;nlp,"Candidate Candidate_54 has 5 years of experience. Primary skills include deep learning, tableau, project management, streamlit, spark, aws, azure, statistics, nlp. Education level: bachelor."
C0055,Candidate_55,6,high_school,spark;etl;aws;tableau;streamlit,"Candidate Candidate_55 has 6 years of experience. Primary skills include spark, etl, aws, tableau, streamlit. Education level: high_school."
C0056,Candidate_56,6,phd,tableau;azure;spark;power bi;communication;docker,"Candidate Candidate_56 has 6 years of experience. Primary skills include tableau, azure, spark, power bi, communication, docker. Education level: phd."
C0057,Candidate_57,2,master,azure;project management;leadership;aws;machine learning;nlp;kubernetes;power bi;etl,"Candidate Candidate_57 has 2 years of experience. Primary skills include azure, project management, leadership, aws, machine learning, nlp, kubernetes, power bi, etl. Education level: master."
C0058,Candidate_58,3,bachelor,docker;tableau;git;azure,"Candidate Candidate_58 has 3 years of experience. Primary skills include docker, tableau, git, azure. Education level: bachelor."
C0059,Candidate_59,5,phd,sql;docker;leadership;machine learning,"Candidate Candidate_59 has 5 years of experience. Primary skills include sql, docker, leadership, machine learning. Education level: phd."
C0060,Candidate_60,6,high_school,streamlit;azure;etl;leadership;fastapi;deep learning;machine learning,"Candidate Candidate_60 has 6 years of experience. Primary skills include streamlit, azure, etl, leadership, fastapi, deep learning, machine learning. Education level: high_school."
C0061,Candidate_61,3,phd,spark;docker;aws;project management,"Candidate Candidate_61 has 3 years of experience. Primary skills include spark, docker, aws, project management. Education level: phd."
C0062,Candidate_62,4,bachelor,fastapi;docker;deep learning;communication,"Candidate Candidate_62 has 4 years of experience. Primary skills include fastapi, docker, deep learning, communication. Education level: bachelor."
C0063,Candidate_63,2,phd,project management;fastapi;power bi;communication;spark;leadership;kubernetes,"Candidate Candidate_63 has 2 years of experience. Primary skills include project management, fastapi, power bi, communication, spark, leadership, kubernetes. Education level: phd."
C0064,Candidate_64,1,phd,leadership;communication;kubernetes;docker;fastapi,"Candidate Candidate_64 has 1 years of experience. Primary skills include leadership, communication, kubernetes, docker, fastapi. Education level: phd."
C0065,Candidate_65,6,high_school,docker;kubernetes;communication;machine learning;tableau;deep learning;nlp;aws;etl,"Candidate Candidate_65 has 6 years of experience. Primary skills include docker, kubernetes, communication, machine learning, tableau, deep learning, nlp, aws, etl. Education level: high_school."
C0066,Candidate_66,7,high_school,nlp;docker;etl;git;azure,"Candidate Candidate_66 has 7 years of experience. Primary skills include nlp, docker, etl, git, azure. Education level: high_school."
C0067,Candidate_67,4,phd,spark;power bi;fastapi;communication;git;python;deep learning,"Candidate Candidate_67 has 4 years of experience. Primary skills include spark, power bi, fastapi, communication, git, python, deep learning. Education level: phd."
C0068,Candidate_68,6,phd,streamlit;python;etl;leadership;git;aws;nlp,"Candidate Candidate_68 has 6 years of experience. Primary skills include streamlit, python, etl, leadership, git, aws, nlp. Education level: phd."
C0069,Candidate_69,5,phd,fastapi;git;docker;leadership;streamlit;nlp;azure,"Candidate Candidate_69 has 5 years of experience. Primary skills include fastapi, git, docker, leadership, streamlit, nlp, azure. Education level: phd."
C0070,Candidate_70,3,phd,etl;power bi;git;aws,"Candidate Candidate_70 has 3 years of experience. Primary skills include etl, power bi, git, aws. Education level: phd."
C0071,Candidate_71,5,high_school,git;fastapi;python;etl;streamlit,"Candidate Candidate_71 has 5 years of experience. Primary skills include git, fastapi, python, etl, streamlit. Education level: high_school."
C0072,Candidate_72,7,phd,spark;nlp;communication;aws;sql;streamlit;azure;project management;deep learning,"Candidate Candidate_72 has 7 years of experience. Primary skills include spark, nlp, communication, aws, sql, streamlit, azure, project management, deep learning. Education level: phd."
C0073,Candidate_73,4,high_school,power bi;etl;kubernetes;spark;fastapi;project management,"Candidate Candidate_73 has 4 years of experience. Primary skills include power bi, etl, kubernetes, spark, fastapi, project management. Education level: high_school."
C0074,Candidate_74,7,high_school,python;fastapi;sql;statistics;docker;power bi;streamlit,"Candidate Candidate_74 has 7 years of experience. Primary skills include python, fastapi, sql, statistics, docker, power bi, streamlit. Education level: high_school."
C0075,Candidate_75,0,bachelor,docker;azure;python;nlp,"Candidate Candidate_75 has 0 years of experience. Primary skills include docker, azure, python, nlp. Education level: bachelor."
C0076,Candidate_76,6,master,leadership;deep learning;azure;communication;kubernetes,"Candidate Candidate_76 has 6 years of experience. Primary skills include leadership, deep learning, azure, communication, kubernetes. Education level: master."
C0077,Candidate_77,4,high_school,git;deep learning;aws;tableau;streamlit,"Candidate Candidate_77 has 4 years of experience. Primary skills include git, deep learning, aws, tableau, streamlit. Education level: high_school."
C0078,Candidate_78,3,bachelor,streamlit;etl;git;azure;machine learning;tableau,"Candidate Candidate_78 has 3 years of experience. Primary skills include streamlit, etl, git, azure, machine learning, tableau. Education level: bachelor."
C0079,Candidate_79,4,phd,tableau;deep learning;sql;statistics,"Candidate Candidate_79 has 4 years of experience. Primary skills include tableau, deep learning, sql, statistics. Education level: phd."
C0080,Candidate_80,0,phd,statistics;machine learning;project management;power bi;python;spark;azure;docker;sql,"Candidate Candidate_80 has 0 years of experience. Primary skills include statistics, machine learning, project management, power bi, python, spark, azure, docker, sql. Education level: phd."
C0081,Candidate_81,4,phd,communication;nlp;spark;aws;kubernetes;tableau,"Candidate Candidate_81 has 4 years of experience. Primary skills include communication, nlp, spark, aws, kubernetes, tableau. Education level: phd."
C0082,Candidate_82,5,master,spark;streamlit;kubernetes;power bi;docker;git;sql,"Candidate Candidate_82 has 5 years of experience. Primary skills include spark, streamlit, kubernetes, power bi, docker, git, sql. Education level: master."
C0083,Candidate_83,7,master,docker;communication;etl;power bi;python;git;spark,"Candidate Candidate_83 has 7 years of experience. Primary skills include docker, communication, etl, power bi, python, git, spark. Education level: master."
C0084,Candidate_84,3,master,leadership;azure;statistics;kubernetes;power bi,"Candidate Candidate_84 has 3 years of experience. Primary skills include leadership, azure, statistics, kubernetes, power bi. Education level: master."
C0085,Candidate_85,2,phd,kubernetes;fastapi;python;project management;azure;sql;deep learning;statistics,"Candidate Candidate_85 has 2 years of experience. Primary skills include kubernetes, fastapi, python, project management, azure, sql, deep learning, statistics. Education level: phd."
C0086,Candidate_86,3,high_school,fastapi;docker;leadership;git;communication;etl;python,"Candidate Candidate_86 has 3 years of experience. Primary skills include fastapi, docker, leadership, git, communication, etl, python. Education level: high_school."
C0087,Candidate_87,6,master,docker;etl;git;tableau;statistics;fastapi,"Candidate Candidate_87 has 6 years of experience. Primary skills include docker, etl, git, tableau, statistics, fastapi. Education level: master."
C0088,Candidate_88,5,bachelor,fastapi;power bi;statistics;communication;kubernetes;nlp;project management,"Candidate Candidate_88 has 5 years of experience. Primary skills include fastapi, power bi, statistics, communication, kubernetes, nlp, project management. Education level: bachelor."
C0089,Candidate_89,3,bachelor,azure;power bi;deep learning;aws,"Candidate Candidate_89 has 3 years of experience. Primary skills include azure, power bi, deep learning, aws. Education level: bachelor."
C0090,Candidate_90,5,bachelor,leadership;kubernetes;project management;tableau;deep learning,"Candidate Candidate_90 has 5 years of experience. Primary skills include leadership, kubernetes, project management, tableau, deep learning. Education level: bachelor."
C0091,Candidate_91,4,bachelor,docker;statistics;aws;tableau;python;streamlit,"Candidate Candidate_91 has 4 years of experience. Primary skills include docker, statistics, aws, tableau, python, streamlit. Education level: bachelor."
C0092,Candidate_92,6,phd,sql;git;fastapi;tableau;nlp;power bi,"Candidate Candidate_92 has 6 years of experience. Primary skills include sql, git, fastapi, tableau, nlp, power bi. Education level: phd."
C0093,Candidate_93,2,phd,python;streamlit;tableau;leadership,"Candidate Candidate_93 has 2 years of experience. Primary skills include python, streamlit, tableau, leadership. Education level: phd."
C0094,Candidate_94,3,high_school,power bi;aws;sql;kubernetes;leadership;fastapi;spark,"Candidate Candidate_94 has 3 years of experience. Primary skills include power bi, aws, sql, kubernetes, leadership, fastapi, spark. Education level: high_school."
C0095,Candidate_95,3,master,leadership;machine learning;sql;nlp;project management;etl;tableau,"Candidate Candidate_95 has 3 years of experience. Primary skills include leadership, machine learning, sql, nlp, project management, etl, tableau. Education level: master."
C0096,Candidate_96,1,bachelor,docker;deep learning;fastapi;spark,"Candidate Candidate_96 has 1 years of experience. Primary skills include docker, deep learning, fastapi, spark. Education level: bachelor."
C0097,Candidate_97,5,high_school,etl;communication;streamlit;tableau;spark;nlp;project management;leadership,"Candidate Candidate_97 has 5 years of experience. Primary skills include etl, communication, streamlit, tableau, spark, nlp, project management, leadership. Education level: high_school."
C0098,Candidate_98,5,high_school,deep learning;azure;streamlit;kubernetes;machine learning;leadership;git;communication,"Candidate Candidate_98 has 5 years of experience. Primary skills include deep learning, azure, streamlit, kubernetes, machine learning, leadership, git, communication. Education level: high_school."
C0099,Candidate_99,4,high_school,python;spark;communication;leadership;tableau,"Candidate Candidate_99 has 4 years of experience. Primary skills include python, spark, communication, leadership, tableau. Education level: high_school."
C0100,Candidate_100,3,master,tableau;git;communication;machine learning;docker,"Candidate Candidate_100 has 3 years of experience. Primary skills include tableau, git, communication, machine learning, docker. Education level: master."
C0101,Candidate_101,1,high_school,streamlit;azure;spark;deep learning;docker;power bi;machine learning;nlp;fastapi,"Candidate Candidate_101 has 1 years of experience. Primary skills include streamlit, azure, spark, deep learning, docker, power bi, machine learning, nlp, fastapi. Education level: high_school."
C0102,Candidate_102,3,high_school,aws;tableau;streamlit;communication,"Candidate Candidate_102 has 3 years of experience. Primary skills include aws, tableau, streamlit, communication. Education level: high_school."
C0103,Candidate_103,3,high_school,tableau;etl;kubernetes;project management;leadership;docker;sql,"Candidate Candidate_103 has 3 years of experience. Primary skills include tableau, etl, kubernetes, project management, leadership, docker, sql. Education level: high_school."
C0104,Candidate_104,2,high_school,power bi;kubernetes;python;machine learning;docker;git;spark,"Candidate Candidate_104 has 2 years of experience. Primary skills include power bi, kubernetes, python, machine learning, docker, git, spark. Education level: high_school."
C0105,Candidate_105,4,bachelor,kubernetes;streamlit;sql;aws;leadership;git;power bi;docker;nlp,"Candidate Candidate_105 has 4 years of experience. Primary skills include kubernetes, streamlit, sql, aws, leadership, git, power bi, docker, nlp. Education level: bachelor."
C0106,Candidate_106,5,high_school,spark;leadership;machine learning;streamlit;statistics;azure;aws;git,"Candidate Candidate_106 has 5 years of experience. Primary skills include spark, leadership, machine learning, streamlit, statistics, azure, aws, git. Education level: high_school."
C0107,Candidate_107,8,high_school,power bi;spark;leadership;tableau;etl,"Candidate Candidate_107 has 8 years of experience. Primary skills include power bi, spark, leadership, tableau, etl. Education level: high_school."
C0108,Candidate_108,4,high_school,machine learning;power bi;kubernetes;streamlit;deep learning;etl;azure,"Candidate Candidate_108 has 4 years of experience. Primary skills include machine learning, power bi, kubernetes, streamlit, deep learning, etl, azure. Education level: high_school."
C0109,Candidate_109,5,phd,fastapi;communication;spark;sql;azure;kubernetes;aws;tableau;docker,"Candidate Candidate_109 has 5 years of experience. Primary skills include fastapi, communication, spark, sql, azure, kubernetes, aws, tableau, docker. Education level: phd."
C0110,Candidate_110,4,master,azure;kubernetes;fastapi;nlp,"Candidate Candidate_110 has 4 years of experience. Primary skills include azure, kubernetes, fastapi, nlp. Education level: master."
C0111,Candidate_111,0,high_school,leadership;deep learning;python;docker;aws;nlp;kubernetes,"Candidate Candidate_111 has 0 years of experience. Primary skills include leadership, deep learning, python, docker, aws, nlp, kubernetes. Education level: high_school."
C0112,Candidate_112,4,phd,spark;machine learning;docker;deep learning;communication;sql;power bi;streamlit,"Candidate Candidate_112 has 4 years of experience. Primary skills include spark, machine learning, docker, deep learning, communication, sql, power bi, streamlit. Education level: phd."
C0113,Candidate_113,4,bachelor,tableau;project management;kubernetes;spark;leadership;docker;deep learning;communication;fastapi,"Candidate Candidate_113 has 4 years of experience. Primary skills include tableau, project management, kubernetes, spark, leadership, docker, deep learning, communication, fastapi. Education level: bachelor."
C0114,Candidate_114,9,phd,azure;project management;nlp;machine learning;kubernetes;etl;communication,"Candidate Candidate_114 has 9 years of experience. Primary skills include azure, project management, nlp, machine learning, kubernetes, etl, communication. Education level: phd."
C0115,Candidate_115,4,phd,project management;kubernetes;python;tableau;git;spark,"Candidate Candidate_115 has 4 years of experience. Primary skills include project management, kubernetes, python, tableau, git, spark. Education level: phd."
C0116,Candidate_116,5,phd,communication;fastapi;leadership;statistics;power bi,"Candidate Candidate_116 has 5 years of experience. Primary skills include communication, fastapi, leadership, statistics, power bi. Education level: phd."
C0117,Candidate_117,4,phd,power bi;azure;docker;etl;fastapi;spark;project management,"Candidate Candidate_117 has 4 years of experience. Primary skills include power bi, azure, docker, etl, fastapi, spark, project management. Education level: phd."
C0118,Candidate_118,1,bachelor,power bi;leadership;etl;fastapi,"Candidate Candidate_118 has 1 years of experience. Primary skills include power bi, leadership, etl, fastapi. Education level: bachelor."
C0119,Candidate_119,7,phd,sql;nlp;project management;power bi;deep learning;spark;communication,"Candidate Candidate_119 has 7 years of experience. Primary skills include sql, nlp, project management, power bi, deep learning, spark, communication. Education level: phd."
C0120,Candidate_120,6,phd,project management;communication;python;nlp,"Candidate Candidate_120 has 6 years of experience. Primary skills include project management, communication, python, nlp. Education level: phd."
C0121,Candidate_121,6,high_school,nlp;machine learning;leadership;kubernetes;power bi;tableau;statistics;azure;fastapi,"Candidate Candidate_121 has 6 years of experience. Primary skills include nlp, machine learning, leadership, kubernetes, power bi, tableau, statistics, azure, fastapi. Education level: high_school."
C0122,Candidate_122,2,high_school,fastapi;etl;power bi;leadership;sql;tableau,"Candidate Candidate_122 has 2 years of experience. Primary skills include fastapi, etl, power bi, leadership, sql, tableau. Education level: high_school."
C0123,Candidate_123,7,high_school,tableau;docker;machine learning;spark;deep learning,"Candidate Candidate_123 has 7 years of experience. Primary skills include tableau, docker, machine learning, spark, deep learning. Education level: high_school."
C0124,Candidate_124,1,master,aws;tableau;python;sql;power bi;etl;fastapi,"Candidate Candidate_124 has 1 years of experience. Primary skills include aws, tableau, python, sql, power bi, etl, fastapi. Education level: master."
C0125,Candidate_125,5,bachelor,statistics;spark;nlp;docker;streamlit;tableau,"Candidate Candidate_125 has 5 years of experience. Primary skills include statistics, spark, nlp, docker, streamlit, tableau. Education level: bachelor."
C0126,Candidate_126,9,bachelor,aws;machine learning;etl;docker;leadership,"Candidate Candidate_126 has 9 years of experience. Primary skills include aws, machine learning, etl, docker, leadership. Education level: bachelor."
C0127,Candidate_127,2,phd,communication;kubernetes;git;streamlit;python,"Candidate Candidate_127 has 2 years of experience. Primary skills include communication, kubernetes, git, streamlit, python. Education level: phd."
C0128,Candidate_128,3,master,fastapi;aws;machine learning;communication;statistics;tableau,"Candidate Candidate_128 has 3 years of experience. Primary skills include fastapi, aws, machine learning, communication, statistics, tableau. Education level: master."
C0129,Candidate_129,4,bachelor,spark;kubernetes;communication;tableau;azure;leadership;git;docker;sql,"Candidate Candidate_129 has 4 years of experience. Primary skills include spark, kubernetes, communication, tableau, azure, leadership, git, docker, sql. Education level: bachelor."
C0130,Candidate_130,3,phd,streamlit;statistics;tableau;fastapi;python;spark;power bi,"Candidate Candidate_130 has 3 years of experience. Primary skills include streamlit, statistics, tableau, fastapi, python, spark, power bi. Education level: phd."
C0131,Candidate_131,1,bachelor,python;streamlit;sql;leadership;tableau;etl,"Candidate Candidate_131 has 1 years of experience. Primary skills include python, streamlit, sql, leadership, tableau, etl. Education level: bachelor."
C0132,Candidate_132,4,high_school,statistics;docker;azure;kubernetes;nlp;power bi;sql;communication,"Candidate Candidate_132 has 4 years of experience. Primary skills include statistics, docker, azure, kubernetes, nlp, power bi, sql, communication. Education level: high_school."
C0133,Candidate_133,2,master,communication;sql;statistics;nlp;machine learning;git,"Candidate Candidate_133 has 2 years of experience. Primary skills include communication, sql, statistics, nlp, machine learning, git. Education level: master."
C0134,Candidate_134,5,master,spark;aws;azure;nlp;statistics;kubernetes,"Candidate Candidate_134 has 5 years of experience. Primary skills include spark, aws, azure, nlp, statistics, kubernetes. Education level: master."
C0135,Candidate_135,2,phd,kubernetes;leadership;tableau;power bi;deep learning,"Candidate Candidate_135 has 2 years of experience. Primary skills include kubernetes, leadership, tableau, power bi, deep learning. Education level: phd."
C0136,Candidate_136,7,high_school,nlp;docker;etl;statistics,"Candidate Candidate_136 has 7 years of experience. Primary skills include nlp, docker, etl, statistics. Education level: high_school."
C0137,Candidate_137,2,master,python;kubernetes;fastapi;deep learning;communication;aws;power bi,"Candidate Candidate_137 has 2 years of experience. Primary skills include python, kubernetes, fastapi, deep learning, communication, aws, power bi. Education level: master."
C0138,Candidate_138,3,master,etl;statistics;deep learning;docker;leadership;python;tableau;kubernetes,"Candidate Candidate_138 has 3 years of experience. Primary skills include etl, statistics, deep learning, docker, leadership, python, tableau, kubernetes. Education level: master."
C0139,Candidate_139,6,high_school,docker;machine learning;communication;tableau;spark;sql;streamlit;python,"Candidate Candidate_139 has 6 years of experience. Primary skills include docker, machine learning, communication, tableau, spark, sql, streamlit, python. Education level: high_school."
