candidate_id,job_id,resume_text,job_text,candidate_skills,required_skills,optional_skills,candidate_years,job_min_years,candidate_education,job_min_education,match_label
C0182,J010,"Candidate Candidate_182 has 2 years of experience. Primary skills include power bi, sql, git, machine learning, fastapi, streamlit, kubernetes. Education level: phd.","Role Data Scientist requires at least 6 years experience. Required skills: deep learning, sql, tableau, etl. Preferred skills: spark, docker, aws, power bi. Minimum education: bachelor.",power bi;sql;git;machine learning;fastapi;streamlit;kubernetes,deep learning;sql;tableau;etl,spark;docker;aws;power bi,2,6,phd,bachelor,0
C0203,J005,"Candidate Candidate_203 has 6 years of experience. Primary skills include leadership, sql, etl, statistics, kubernetes, project management, python. Education level: master.","Role Data Scientist requires at least 3 years experience. Required skills: machine learning, kubernetes, azure, streamlit, nlp. Preferred skills: tableau, fastapi, project management. Minimum education: phd.",leadership;sql;etl;statistics;kubernetes;project management;python,machine learning;kubernetes;azure;streamlit;nlp,tableau;fastapi;project management,6,3,master,phd,0
C0179,J011,"Candidate Candidate_179 has 3 years of experience. Primary skills include streamlit, azure, power bi, leadership, nlp, python, docker. Education level: high_school.","Role Backend Engineer requires at least 8 years experience. Required skills: project management, communication, leadership, tableau, fastapi, python. Preferred skills: etl. Minimum education: bachelor.",streamlit;azure;power bi;leadership;nlp;python;docker,project management;communication;leadership;tableau;fastapi;python,etl,3,8,high_school,bachelor,0
C0153,J027,"Candidate Candidate_153 has 3 years of experience. Primary skills include streamlit, fastapi, power bi, etl, tableau, docker, kubernetes, leadership. Education level: phd.","Role NLP Engineer requires at least 3 years experience. Required skills: fastapi, project management, leadership, nlp, communication, streamlit. Preferred skills: deep learning, power bi. Minimum education: phd.",streamlit;fastapi;power bi;etl;tableau;docker;kubernetes;leadership,fastapi;project management;leadership;nlp;communication;streamlit,deep learning;power bi,3,3,phd,phd,1
C0024,J011,"Candidate Candidate_24 has 1 years of experience. Primary skills include docker, kubernetes, leadership, azure, nlp, statistics, tableau, spark. Education level: phd.","Role Backend Engineer requires at least 8 years experience. Required skills: project management, communication, leadership, tableau, fastapi, python. Preferred skills: etl. Minimum education: bachelor.",docker;kubernetes;leadership;azure;nlp;statistics;tableau;spark,project management;communication;leadership;tableau;fastapi;python,etl,1,8,phd,bachelor,0
C0053,J027,"Candidate Candidate_53 has 3 years of experience. Primary skills include spark, python, project management, azure, statistics, fastapi, sql, power bi, aws. Education level: master.","Role NLP Engineer requires at least 3 years experience. Required skills: fastapi, project management, leadership, nlp, communication, streamlit. Preferred skills: deep learning, power bi. Minimum education: phd.",spark;python;project management;azure;statistics;fastapi;sql;power bi;aws,fastapi;project management;leadership;nlp;communication;streamlit,deep learning;power bi,3,3,master,phd,0
C0133,J016,"Candidate Candidate_133 has 2 years of experience. Primary skills include communication, sql, statistics, nlp, machine learning, git. Education level: master.","Role BI Engineer requires at least 8 years experience. Required skills: power bi, git, aws, etl. Preferred skills: tableau, streamlit, project management. Minimum education: phd.",communication;sql;statistics;nlp;machine learning;git,power bi;git;aws;etl,tableau;streamlit;project management,2,8,master,phd,0
C0085,J021,"Candidate Candidate_85 has 2 years of experience. Primary skills include kubernetes, fastapi, python, project management, azure, sql, deep learning, statistics. Education level: phd.","Role Data Analyst requires at least 5 years experience. Required skills: tableau, git, azure, leadership. Preferred skills: statistics, fastapi. Minimum education: master.",kubernetes;fastapi;python;project management;azure;sql;deep learning;statistics,tableau;git;azure;leadership,statistics;fastapi,2,5,phd,master,0
C0033,J017,"Candidate Candidate_33 has 4 years of experience. Primary skills include streamlit, leadership, project management, fastapi. Education level: bachelor.","Role ML Engineer requires at least 4 years experience. Required skills: python, statistics, power bi, deep learning, spark, tableau. Preferred skills: leadership, kubernetes. Minimum education: phd.",streamlit;leadership;project management;fastapi,python;statistics;power bi;deep learning;spark;tableau,leadership;kubernetes,4,4,bachelor,phd,0
C0137,J025,"Candidate Candidate_137 has 2 years of experience. Primary skills include python, kubernetes, fastapi, deep learning, communication, aws, power bi. Education level: master.","Role MLOps Engineer requires at least 1 years experience. Required skills: azure, tableau, power bi, streamlit, sql, communication. Preferred skills: docker. Minimum education: bachelor.",python;kubernetes;fastapi;deep learning;communication;aws;power bi,azure;tableau;power bi;streamlit;sql;communication,docker,2,1,master,bachelor,0
C0075,J007,"Candidate Candidate_75 has 0 years of experience. Primary skills include docker, azure, python, nlp. Education level: bachelor.","Role ML Engineer requires at least 8 years experience. Required skills: git, python, leadership, tableau, project management, docker. Preferred skills: etl. Minimum education: bachelor.",docker;azure;python;nlp,git;python;leadership;tableau;project management;docker,etl,0,8,bachelor,bachelor,0
C0023,J019,"Candidate Candidate_23 has 4 years of experience. Primary skills include docker, python, machine learning, sql, git, project management, streamlit, aws. Education level: high_school.","Role NLP Engineer requires at least 6 years experience. Required skills: azure, spark, project management, leadership, sql, statistics. Preferred skills: . Minimum education: phd.",docker;python;machine learning;sql;git;project management;streamlit;aws,azure;spark;project management;leadership;sql;statistics,,4,6,high_school,phd,0
C0174,J013,"Candidate Candidate_174 has 5 years of experience. Primary skills include project management, azure, statistics, fastapi, nlp, deep learning, sql, machine learning. Education level: master.","Role Analytics Lead requires at least 2 years experience. Required skills: etl, statistics, sql, git, fastapi. Preferred skills: azure, tableau. Minimum education: master.",project management;azure;statistics;fastapi;nlp;deep learning;sql;machine learning,etl;statistics;sql;git;fastapi,azure;tableau,5,2,master,master,1
C0073,J016,"Candidate Candidate_73 has 4 years of experience. Primary skills include power bi, etl, kubernetes, spark, fastapi, project management. Education level: high_school.","Role BI Engineer requires at least 8 years experience. Required skills: power bi, git, aws, etl. Preferred skills: tableau, streamlit, project management. Minimum education: phd.",power bi;etl;kubernetes;spark;fastapi;project management,power bi;git;aws;etl,tableau;streamlit;project management,4,8,high_school,phd,0
C0022,J021,"Candidate Candidate_22 has 4 years of experience. Primary skills include communication, deep learning, docker, fastapi, machine learning, aws, python, tableau. Education level: bachelor.","Role Data Analyst requires at least 5 years experience. Required skills: tableau, git, azure, leadership. Preferred skills: statistics, fastapi. Minimum education: master.",communication;deep learning;docker;fastapi;machine learning;aws;python;tableau,tableau;git;azure;leadership,statistics;fastapi,4,5,bachelor,master,0
C0162,J008,"Candidate Candidate_162 has 6 years of experience. Primary skills include statistics, python, aws, nlp, etl, sql. Education level: bachelor.","Role AI Product Analyst requires at least 6 years experience. Required skills: communication, spark, leadership, git. Preferred skills: power bi, nlp. Minimum education: phd.",statistics;python;aws;nlp;etl;sql,communication;spark;leadership;git,power bi;nlp,6,6,bachelor,phd,0
C0070,J005,"Candidate Candidate_70 has 3 years of experience. Primary skills include etl, power bi, git, aws. Education level: phd.","Role Data Scientist requires at least 3 years experience. Required skills: machine learning, kubernetes, azure, streamlit, nlp. Preferred skills: tableau, fastapi, project management. Minimum education: phd.",etl;power bi;git;aws,machine learning;kubernetes;azure;streamlit;nlp,tableau;fastapi;project management,3,3,phd,phd,0
C0022,J017,"Candidate Candidate_22 has 4 years of experience. Primary skills include communication, deep learning, docker, fastapi, machine learning, aws, python, tableau. Education level: bachelor.","Role ML Engineer requires at least 4 years experience. Required skills: python, statistics, power bi, deep learning, spark, tableau. Preferred skills: leadership, kubernetes. Minimum education: phd.",communication;deep learning;docker;fastapi;machine learning;aws;python;tableau,python;statistics;power bi;deep learning;spark;tableau,leadership;kubernetes,4,4,bachelor,phd,0
C0026,J010,"Candidate Candidate_26 has 4 years of experience. Primary skills include spark, git, communication, sql, deep learning, python. Education level: phd.","Role Data Scientist requires at least 6 years experience. Required skills: deep learning, sql, tableau, etl. Preferred skills: spark, docker, aws, power bi. Minimum education: bachelor.",spark;git;communication;sql;deep learning;python,deep learning;sql;tableau;etl,spark;docker;aws;power bi,4,6,phd,bachelor,0
C0083,J003,"Candidate Candidate_83 has 7 years of experience. Primary skills include docker, communication, etl, power bi, python, git, spark. Education level: master.","Role Analytics Lead requires at least 3 years experience. Required skills: communication, git, project management. Preferred skills: nlp, fastapi, aws. Minimum education: master.",docker;communication;etl;power bi;python;git;spark,communication;git;project management,nlp;fastapi;aws,7,3,master,master,0
C0065,J016,"Candidate Candidate_65 has 6 years of experience. Primary skills include docker, kubernetes, communication, machine learning, tableau, deep learning, nlp, aws, etl. Education level: high_school.","Role BI Engineer requires at least 8 years experience. Required skills: power bi, git, aws, etl. Preferred skills: tableau, streamlit, project management. Minimum education: phd.",docker;kubernetes;communication;machine learning;tableau;deep learning;nlp;aws;etl,power bi;git;aws;etl,tableau;streamlit;project management,6,8,high_school,phd,0
C0061,J013,"Candidate Candidate_61 has 3 years of experience. Primary skills include spark, docker, aws, project management. Education level: phd.","Role Analytics Lead requires at least 2 years experience. Required skills: etl, statistics, sql, git, fastapi. Preferred skills: azure, tableau. Minimum education: master.",spark;docker;aws;project management,etl;statistics;sql;git;fastapi,azure;tableau,3,2,phd,master,0
C0108,J011,"Candidate Candidate_108 has 4 years of experience. Primary skills include machine learning, power bi, kubernetes, streamlit, deep learning, etl, azure. Education level: high_school.","Role Backend Engineer requires at least 8 years experience. Required skills: project management, communication, leadership, tableau, fastapi, python. Preferred skills: etl. Minimum education: bachelor.",machine learning;power bi;kubernetes;streamlit;deep learning;etl;azure,project management;communication;leadership;tableau;fastapi;python,etl,4,8,high_school,bachelor,0
C0214,J027,"Candidate Candidate_214 has 5 years of experience. Primary skills include nlp, communication, sql, git. Education level: high_school.","Role NLP Engineer requires at least 3 years experience. Required skills: fastapi, project management, leadership, nlp, communication, streamlit. Preferred skills: deep learning, power bi. Minimum education: phd.",nlp;communication;sql;git,fastapi;project management;leadership;nlp;communication;streamlit,deep learning;power bi,5,3,high_school,phd,0
C0063,J023,"Candidate Candidate_63 has 2 years of experience. Primary skills include project management, fastapi, power bi, communication, spark, leadership, kubernetes. Education level: phd.","Role Backend Engineer requires at least 4 years experience. Required skills: fastapi, kubernetes, nlp, deep learning, docker. Preferred skills: sql, project management. Minimum education: phd.",project management;fastapi;power bi;communication;spark;leadership;kubernetes,fastapi;kubernetes;nlp;deep learning;docker,sql;project management,2,4,phd,phd,0
C0129,J017,"Candidate Candidate_129 has 4 years of experience. Primary skills include spark, kubernetes, communication, tableau, azure, leadership, git, docker, sql. Education level: bachelor.","Role ML Engineer requires at least 4 years experience. Required skills: python, statistics, power bi, deep learning, spark, tableau. Preferred skills: leadership, kubernetes. Minimum education: phd.",spark;kubernetes;communication;tableau;azure;leadership;git;docker;sql,python;statistics;power bi;deep learning;spark;tableau,leadership;kubernetes,4,4,bachelor,phd,1
C0130,J020,"Candidate Candidate_130 has 3 years of experience. Primary skills include streamlit, statistics, tableau, fastapi, python, spark, power bi. Education level: phd.","Role BI Engineer requires at least 5 years experience. Required skills: power bi, aws, communication, git, statistics, project management. Preferred skills: kubernetes, leadership, azure, docker. Minimum education: phd.",streamlit;statistics;tableau;fastapi;python;spark;power bi,power bi;aws;communication;git;statistics;project management,kubernetes;leadership;azure;docker,3,5,phd,phd,0
C0200,J027,"Candidate Candidate_200 has 1 years of experience. Primary skills include spark, communication, machine learning, deep learning, leadership. Education level: high_school.","Role NLP Engineer requires at least 3 years experience. Required skills: fastapi, project management, leadership, nlp, communication, streamlit. Preferred skills: deep learning, power bi. Minimum education: phd.",spark;communication;machine learning;deep learning;leadership,fastapi;project management;leadership;nlp;communication;streamlit,deep learning;power bi,1,3,high_school,phd,0
C0007,J006,"Candidate Candidate_7 has 7 years of experience. Primary skills include azure, machine learning, sql, docker, tableau, fastapi, spark, deep learning. Education level: high_school.","Role Backend Engineer requires at least 5 years experience. Required skills: git, power bi, sql, python. Preferred skills: streamlit. Minimum education: phd.",azure;machine learning;sql;docker;tableau;fastapi;spark;deep learning,git;power bi;sql;python,streamlit,7,5,high_school,phd,0
C0143,J027,"Candidate Candidate_143 has 0 years of experience. Primary skills include statistics, fastapi, git, sql. Education level: phd.","Role NLP Engineer requires at least 3 years experience. Required skills: fastapi, project management, leadership, nlp, communication, streamlit. Preferred skills: deep learning, power bi. Minimum education: phd.",statistics;fastapi;git;sql,fastapi;project management;leadership;nlp;communication;streamlit,deep learning;power bi,0,3,phd,phd,0
C0108,J028,"Candidate Candidate_108 has 4 years of experience. Primary skills include machine learning, power bi, kubernetes, streamlit, deep learning, etl, azure. Education level: high_school.","Role AI Product Analyst requires at least 7 years experience. Required skills: aws, python, power bi, tableau, azure. Preferred skills: git, etl. Minimum education: phd.",machine learning;power bi;kubernetes;streamlit;deep learning;etl;azure,aws;python;power bi;tableau;azure,git;etl,4,7,high_school,phd,0
C0049,J021,"Candidate Candidate_49 has 5 years of experience. Primary skills include azure, etl, power bi, kubernetes. Education level: high_school.","Role Data Analyst requires at least 5 years experience. Required skills: tableau, git, azure, leadership. Preferred skills: statistics, fastapi. Minimum education: master.",azure;etl;power bi;kubernetes,tableau;git;azure;leadership,statistics;fastapi,5,5,high_school,master,0
C0062,J020,"Candidate Candidate_62 has 4 years of experience. Primary skills include fastapi, docker, deep learning, communication. Education level: bachelor.","Role BI Engineer requires at least 5 years experience. Required skills: power bi, aws, communication, git, statistics, project management. Preferred skills: kubernetes, leadership, azure, docker. Minimum education: phd.",fastapi;docker;deep learning;communication,power bi;aws;communication;git;statistics;project management,kubernetes;leadership;azure;docker,4,5,bachelor,phd,0
C0170,J023,"Candidate Candidate_170 has 2 years of experience. Primary skills include sql, spark, python, communication, machine learning, streamlit, aws. Education level: phd.","Role Backend Engineer requires at least 4 years experience. Required skills: fastapi, kubernetes, nlp, deep learning, docker. Preferred skills: sql, project management. Minimum education: phd.",sql;spark;python;communication;machine learning;streamlit;aws,fastapi;kubernetes;nlp;deep learning;docker,sql;project management,2,4,phd,phd,0
C0100,J014,"Candidate Candidate_100 has 3 years of experience. Primary skills include tableau, git, communication, machine learning, docker. Education level: master.","Role Analytics Lead requires at least 3 years experience. Required skills: fastapi, kubernetes, deep learning, nlp, git, azure. Preferred skills: power bi, statistics. Minimum education: bachelor.",tableau;git;communication;machine learning;docker,fastapi;kubernetes;deep learning;nlp;git;azure,power bi;statistics,3,3,master,bachelor,0
C0044,J026,"Candidate Candidate_44 has 3 years of experience. Primary skills include streamlit, fastapi, nlp, spark, git, python. Education level: master.","Role BI Engineer requires at least 2 years experience. Required skills: sql, etl, leadership, aws. Preferred skills: tableau, python, git. Minimum education: master.",streamlit;fastapi;nlp;spark;git;python,sql;etl;leadership;aws,tableau;python;git,3,2,master,master,0
C0075,J013,"Candidate Candidate_75 has 0 years of experience. Primary skills include docker, azure, python, nlp. Education level: bachelor.","Role Analytics Lead requires at least 2 years experience. Required skills: etl, statistics, sql, git, fastapi. Preferred skills: azure, tableau. Minimum education: master.",docker;azure;python;nlp,etl;statistics;sql;git;fastapi,azure;tableau,0,2,bachelor,master,0
C0110,J022,"Candidate Candidate_110 has 4 years of experience. Primary skills include azure, kubernetes, fastapi, nlp. Education level: master.","Role Backend Engineer requires at least 8 years experience. Required skills: etl, statistics, nlp, tableau, sql, fastapi. Preferred skills: machine learning, communication, kubernetes. Minimum education: bachelor.",azure;kubernetes;fastapi;nlp,etl;statistics;nlp;tableau;sql;fastapi,machine learning;communication;kubernetes,4,8,master,bachelor,0
C0194,J017,"Candidate Candidate_194 has 1 years of experience. Primary skills include docker, communication, statistics, python. Education level: phd.","Role ML Engineer requires at least 4 years experience. Required skills: python, statistics, power bi, deep learning, spark, tableau. Preferred skills: leadership, kubernetes. Minimum education: phd.",docker;communication;statistics;python,python;statistics;power bi;deep learning;spark;tableau,leadership;kubernetes,1,4,phd,phd,0
C0213,J023,"Candidate Candidate_213 has 6 years of experience. Primary skills include statistics, spark, kubernetes, sql, machine learning, power bi, communication, azure, aws. Education level: bachelor.","Role Backend Engineer requires at least 4 years experience. Required skills: fastapi, kubernetes, nlp, deep learning, docker. Preferred skills: sql, project management. Minimum education: phd.",statistics;spark;kubernetes;sql;machine learning;power bi;communication;azure;aws,fastapi;kubernetes;nlp;deep learning;docker,sql;project management,6,4,bachelor,phd,0
C0033,J007,"Candidate Candidate_33 has 4 years of experience. Primary skills include streamlit, leadership, project management, fastapi. Education level: bachelor.","Role ML Engineer requires at least 8 years experience. Required skills: git, python, leadership, tableau, project management, docker. Preferred skills: etl. Minimum education: bachelor.",streamlit;leadership;project management;fastapi,git;python;leadership;tableau;project management;docker,etl,4,8,bachelor,bachelor,0
C0191,J011,"Candidate Candidate_191 has 3 years of experience. Primary skills include streamlit, communication, git, tableau, etl, kubernetes, fastapi, azure, machine learning. Education level: bachelor.","Role Backend Engineer requires at least 8 years experience. Required skills: project management, communication, leadership, tableau, fastapi, python. Preferred skills: etl. Minimum education: bachelor.",streamlit;communication;git;tableau;etl;kubernetes;fastapi;azure;machine learning,project management;communication;leadership;tableau;fastapi;python,etl,3,8,bachelor,bachelor,0
C0099,J006,"Candidate Candidate_99 has 4 years of experience. Primary skills include python, spark, communication, leadership, tableau. Education level: high_school.","Role Backend Engineer requires at least 5 years experience. Required skills: git, power bi, sql, python. Preferred skills: streamlit. Minimum education: phd.",python;spark;communication;leadership;tableau,git;power bi;sql;python,streamlit,4,5,high_school,phd,0
C0160,J003,"Candidate Candidate_160 has 5 years of experience. Primary skills include deep learning, statistics, fastapi, streamlit, git. Education level: master.","Role Analytics Lead requires at least 3 years experience. Required skills: communication, git, project management. Preferred skills: nlp, fastapi, aws. Minimum education: master.",deep learning;statistics;fastapi;streamlit;git,communication;git;project management,nlp;fastapi;aws,5,3,master,master,0
C0033,J014,"Candidate Candidate_33 has 4 years of experience. Primary skills include streamlit, leadership, project management, fastapi. Education level: bachelor.","Role Analytics Lead requires at least 3 years experience. Required skills: fastapi, kubernetes, deep learning, nlp, git, azure. Preferred skills: power bi, statistics. Minimum education: bachelor.",streamlit;leadership;project management;fastapi,fastapi;kubernetes;deep learning;nlp;git;azure,power bi;statistics,4,3,bachelor,bachelor,0
C0217,J021,"Candidate Candidate_217 has 2 years of experience. Primary skills include kubernetes, docker, deep learning, python, aws, streamlit, git, azure, spark. Education level: high_school.","Role Data Analyst requires at least 5 years experience. Required skills: tableau, git, azure, leadership. Preferred skills: statistics, fastapi. Minimum education: master.",kubernetes;docker;deep learning;python;aws;streamlit;git;azure;spark,tableau;git;azure;leadership,statistics;fastapi,2,5,high_school,master,0
C0037,J025,"Candidate Candidate_37 has 4 years of experience. Primary skills include power bi, machine learning, python, communication, deep learning, sql, kubernetes. Education level: bachelor.","Role MLOps Engineer requires at least 1 years experience. Required skills: azure, tableau, power bi, streamlit, sql, communication. Preferred skills: docker. Minimum education: bachelor.",power bi;machine learning;python;communication;deep learning;sql;kubernetes,azure;tableau;power bi;streamlit;sql;communication,docker,4,1,bachelor,bachelor,0
C0089,J003,"Candidate Candidate_89 has 3 years of experience. Primary skills include azure, power bi, deep learning, aws. Education level: bachelor.","Role Analytics Lead requires at least 3 years experience. Required skills: communication, git, project management. Preferred skills: nlp, fastapi, aws. Minimum education: master.",azure;power bi;deep learning;aws,communication;git;project management,nlp;fastapi;aws,3,3,bachelor,master,0
C0170,J022,"Candidate Candidate_170 has 2 years of experience. Primary skills include sql, spark, python, communication, machine learning, streamlit, aws. Education level: phd.","Role Backend Engineer requires at least 8 years experience. Required skills: etl, statistics, nlp, tableau, sql, fastapi. Preferred skills: machine learning, communication, kubernetes. Minimum education: bachelor.",sql;spark;python;communication;machine learning;streamlit;aws,etl;statistics;nlp;tableau;sql;fastapi,machine learning;communication;kubernetes,2,8,phd,bachelor,0
C0051,J002,"Candidate Candidate_51 has 5 years of experience. Primary skills include streamlit, kubernetes, sql, deep learning, spark. Education level: master.","Role AI Product Analyst requires at least 2 years experience. Required skills: fastapi, nlp, machine learning, git, tableau, azure. Preferred skills: leadership, project management, spark. Minimum education: bachelor.",streamlit;kubernetes;sql;deep learning;spark,fastapi;nlp;machine learning;git;tableau;azure,leadership;project management;spark,5,2,master,bachelor,0
C0039,J011,"Candidate Candidate_39 has 1 years of experience. Primary skills include tableau, project management, python, git, deep learning, communication, machine learning, nlp. Education level: high_school.","Role Backend Engineer requires at least 8 years experience. Required skills: project management, communication, leadership, tableau, fastapi, python. Preferred skills: etl. Minimum education: bachelor.",tableau;project management;python;git;deep learning;communication;machine learning;nlp,project management;communication;leadership;tableau;fastapi;python,etl,1,8,high_school,bachelor,0
C0051,J027,"Candidate Candidate_51 has 5 years of experience. Primary skills include streamlit, kubernetes, sql, deep learning, spark. Education level: master.","Role NLP Engineer requires at least 3 years experience. Required skills: fastapi, project management, leadership, nlp, communication, streamlit. Preferred skills: deep learning, power bi. Minimum education: phd.",streamlit;kubernetes;sql;deep learning;spark,fastapi;project management;leadership;nlp;communication;streamlit,deep learning;power bi,5,3,master,phd,0
C0167,J002,"Candidate Candidate_167 has 6 years of experience. Primary skills include tableau, sql, docker, etl, streamlit, python, deep learning, nlp. Education level: bachelor.","Role AI Product Analyst requires at least 2 years experience. Required skills: fastapi, nlp, machine learning, git, tableau, azure. Preferred skills: leadership, project management, spark. Minimum education: bachelor.",tableau;sql;docker;etl;streamlit;python;deep learning;nlp,fastapi;nlp;machine learning;git;tableau;azure,leadership;project management;spark,6,2,bachelor,bachelor,0
C0074,J012,"Candidate Candidate_74 has 7 years of experience. Primary skills include python, fastapi, sql, statistics, docker, power bi, streamlit. Education level: high_school.","Role BI Engineer requires at least 7 years experience. Required skills: sql, git, tableau, leadership, project management. Preferred skills: fastapi, python, deep learning. Minimum education: bachelor.",python;fastapi;sql;statistics;docker;power bi;streamlit,sql;git;tableau;leadership;project management,fastapi;python;deep learning,7,7,high_school,bachelor,0
C0111,J017,"Candidate Candidate_111 has 0 years of experience. Primary skills include leadership, deep learning, python, docker, aws, nlp, kubernetes. Education level: high_school.","Role ML Engineer requires at least 4 years experience. Required skills: python, statistics, power bi, deep learning, spark, tableau. Preferred skills: leadership, kubernetes. Minimum education: phd.",leadership;deep learning;python;docker;aws;nlp;kubernetes,python;statistics;power bi;deep learning;spark;tableau,leadership;kubernetes,0,4,high_school,phd,0
C0162,J002,"Candidate Candidate_162 has 6 years of experience. Primary skills include statistics, python, aws, nlp, etl, sql. Education level: bachelor.","Role AI Product Analyst requires at least 2 years experience. Required skills: fastapi, nlp, machine learning, git, tableau, azure. Preferred skills: leadership, project management, spark. Minimum education: bachelor.",statistics;python;aws;nlp;etl;sql,fastapi;nlp;machine learning;git;tableau;azure,leadership;project management;spark,6,2,bachelor,bachelor,0
C0219,J019,"Candidate Candidate_219 has 3 years of experience. Primary skills include machine learning, communication, aws, streamlit, git. Education level: master.","Role NLP Engineer requires at least 6 years experience. Required skills: azure, spark, project management, leadership, sql, statistics. Preferred skills: . Minimum education: phd.",machine learning;communication;aws;streamlit;git,azure;spark;project management;leadership;sql;statistics,,3,6,master,phd,0
C0219,J015,"Candidate Candidate_219 has 3 years of experience. Primary skills include machine learning, communication, aws, streamlit, git. Education level: master.","Role Analytics Lead requires at least 3 years experience. Required skills: project management, sql, streamlit, fastapi, nlp, statistics. Preferred skills: leadership, communication. Minimum education: phd.",machine learning;communication;aws;streamlit;git,project management;sql;streamlit;fastapi;nlp;statistics,leadership;communication,3,3,master,phd,0
C0084,J001,"Candidate Candidate_84 has 3 years of experience. Primary skills include leadership, azure, statistics, kubernetes, power bi. Education level: master.","Role AI Product Analyst requires at least 6 years experience. Required skills: project management, docker, deep learning, azure, nlp. Preferred skills: leadership, python. Minimum education: phd.",leadership;azure;statistics;kubernetes;power bi,project management;docker;deep learning;azure;nlp,leadership;python,3,6,master,phd,0
