job_id,job_title,min_years,min_education,required_skills,optional_skills,job_text
J018,Data Scientist,6,master,aws;project management;etl;nlp;docker;python,deep learning;azure;communication,"Role Data Scientist requires at least 6 years experience. Required skills: aws, project management, etl, nlp, docker, python. Preferred skills: deep learning, azure, communication. Minimum education: master."
J019,NLP Engineer,6,phd,azure;spark;project management;leadership;sql;statistics,,"Role NLP Engineer requires at least 6 years experience. Required skills: azure, spark, project management, leadership, sql, statistics. Preferred skills: . Minimum education: phd."
J020,BI Engineer,5,phd,power bi;aws;communication;git;statistics;project management,kubernetes;leadership;azure;docker,"Role BI Engineer requires at least 5 years experience. Required skills: power bi, aws, communication, git, statistics, project management. Preferred skills: kubernetes, leadership, azure, docker. Minimum education: phd."
J021,Data Analyst,5,master,tableau;git;azure;leadership,statistics;fastapi,"Role Data Analyst requires at least 5 years experience. Required skills: tableau, git, azure, leadership. Preferred skills: statistics, fastapi. Minimum education: master."
J022,Backend Engineer,8,bachelor,etl;statistics;nlp;tableau;sql;fastapi,machine learning;communication;kubernetes,"Role Backend Engineer requires at least 8 years experience. Required skills: etl, statistics, nlp, tableau, sql, fastapi. Preferred skills: machine learning, communication, kubernetes. Minimum education: bachelor."
J023,Backend Engineer,4,phd,fastapi;kubernetes;nlp;deep learning;docker,sql;project management,"Role Backend Engineer requires at least 4 years experience. Required skills: fastapi, kubernetes, nlp, deep learning, docker. Preferred skills: sql, project management. Minimum education: phd."
J024,NLP Engineer,3,master,deep learning;spark;power bi,leadership;nlp;python,"Role NLP Engineer requires at least 3 years experience. Required skills: deep learning, spark, power bi. Preferred skills: leadership, nlp, python. Minimum education: master."
J025,MLOps Engineer,1,bachelor,azure;tableau;power bi;streamlit;sql;communication,docker,"Role MLOps Engineer requires at least 1 years experience. Required skills: azure, tableau, power bi, streamlit, sql, communication. Preferred skills: docker. Minimum education: bachelor."
J026,BI Engineer,2,master,sql;etl;leadership;aws,tableau;python;git,"Role BI Engineer requires at least 2 years experience. Required skills: sql, etl, leadership, aws. Preferred skills: tableau, python, git. Minimum education: master."
J027,NLP Engineer,3,phd,fastapi;project management;leadership;nlp;communication;streamlit,deep learning;power bi,"Role NLP Engineer requires at least 3 years experience. Required skills: fastapi, project management, leadership, nlp, communication, streamlit. Preferred skills: deep learning, power bi. Minimum education: phd."
J028,AI Product Analyst,7,phd,aws;python;power bi;tableau;azure,git;etl,"Role AI Product Analyst requires at least 7 years experience. Required skills: aws, python, power bi, tableau, azure. Preferred skills: git, etl. Minimum education: phd."
